# 前100个ChatGPT与测试集不一样的
# Answer: news_sport, Predict: news_edu, Text:吉林省对原民办教师有什么好政策？
# Answer: news_world, Predict: news_story, Text:男子身高2.3米妻子1.5米，婚后生活尴尬的不得了
# Answer: news_entertainment, Predict: news_story, Text:想找一个写诗的漂亮女人当老婆有多难？36年都遇不到！
# Answer: news_game, Predict: news_entertainment, Text:电视平台独家合作！海信助力FIFA足球世界开辟大屏游戏战场
# Answer: news_entertainment, Predict: news_sport, Text:美媒晒科比为凯尔特人试训照，绿军当年选了科比会怎样？
# Answer: news_entertainment, Predict: news_sport, Text:世乒赛已然结束，从全面复盘的高度，都能总结出哪些得失？
# Answer: news_tech, Predict: news_story, Text:买个包子竟付款14万 店家：快来认领吗？
# Answer: news_entertainment, Predict: news_sport, Text:21投1中！6200万先生迷失季后赛，莫雷曾因放走他被火箭球迷讨伐
# Answer: news_sport, Predict: news_house, Text:买一只活鸭一般需要50元左右，为什么有些烤鸭却只卖19元呢？
# Answer: news_culture, Predict: news_game, Text:迷你世界地心门怎么弄？
# Answer: news_sport, Predict: stock, Text:2018-05-10股票冲高回落，商品高空
# Answer: news_culture, Predict: news_entertainment, Text:为什么陈晓旭在《红楼梦》之后再无出名的影视作品？
# Answer: news_edu, Predict: news_military, Text:公检法司备考热点：机器人逆天战特级？是颠覆还是辅助？
# Answer: news_sport, Predict: stock, Text:假如股市恢复T+0的交易制度会怎样？
# Answer: news_sport, Predict: stock, Text:钢贸大佬神预测：“红五月”建筑钢材市场价格仍将震荡上升
# Answer: news_entertainment, Predict: news_sport, Text:双冠王梅西+赛季不败+欧洲金靴+西甲金靴+西甲助攻王，在金球奖的竞争中有一席之地吗？
# Answer: news_game, Predict: news_house, Text:40年的老核桃，包浆真美！可缝隙里都是灰怎么办？
# Answer: news_entertainment, Predict: news_sport, Text:精武门综合格斗职业联赛今晚会师珠海 赛前选手见面频频放狠话
# Answer: news_entertainment, Predict: news_sport, Text:经常听到球员十几二十万周薪，他们是不是每周发工资？

Answer: news_military, Predict: news_world, Text:一颗原子弹能够摧毁一支航母舰队吗？专家说出实话，你可能都不信
Answer: news_tech, Predict: news_house, Text:紧急应对618大促，中小型卖家如何快速弯道超车，精耕细作打爆款！
Answer: news_entertainment, Predict: news_agriculture, Text:胜利的天堂能不能向曼城倾斜
Answer: news_entertainment, Predict: news_culture, Text:你最喜欢的一句经典电影对白是什么？
Answer: news_world, Predict: news_game, Text:为什么袁隆平没有获得诺贝尔奖？
Answer: news_military, Predict: news_world, Text:如果美俄不插手，以色列和伊朗谁的胜算高？
Answer: news_edu, Predict: news_entertainment, Text:加拿大留学生移民后的生活状况如何？
Answer: news_world, Predict: news_military, Text:菲律宾新人民军属于什么性质，亲美吗？
Answer: news_tech, Predict: news_car, Text:为什么滴滴打车越来越贵，越来越难打到车，高峰期比打的还难而且贵上1.5倍？
Answer: news_tech, Predict: news_edu, Text:58同城推广公司58同城推广业务58同城推广渠道
Answer: news_game, Predict: news_tech, Text:多开分身，伪装机型登录王者荣耀，账号会不会封号？
Answer: news_culture, Predict: news_edu, Text:安庆一名大学老师用歌唱的方式教授古典诗词，学生们对他的课很有兴趣，对此你怎么看？
Answer: news_tech, Predict: news_entertainment, Text:美国陷入窘境？市场再次引发热议：如何看待特斯拉破产问题？
Answer: news_entertainment, Predict: news_story, Text:有一种爱情叫做汪峰章子怡！
Answer: news_culture, Predict: news_agriculture, Text:九江美食：湖口炒米粑
Answer: news_tech, Predict: news_edu, Text:未来三年，哪些行业值得投资？
Answer: news_tech, Predict: news_world, Text:从2999跌至1599元，曾助OPPO登上国产冠军宝座，如今沦为千元机！
Answer: news_world, Predict: news_edu, Text:中国学者呼吁要重视医生猝死：两年猝死40个，呼吁减负和为自己健康负责
Answer: news_culture, Predict: news_story, Text:出一上联：云上太阳云下雨，求下联？
Answer: news_culture, Predict: news_travel, Text:牧童遥指杏花村是指汾阳杏花镇吗？
Answer: news_world, Predict: news_car, Text:为什么美国经常有龙卷风发生？
