inputs: 'Aibee获亿级行业投资，拓展精准零售新业态', predict: 'news_sports' , label: 'news_tech'
inputs: '名图换代车型lafesta 是否能超越当年的伊兰特', predict: 'news_car' , label: 'news_car'
inputs: '尚雯婕出席活动，网友：每次你的打扮都让人眼前一亮，个性范十足', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '习近平主席讲话在解放军武警部队反响热烈', predict: 'news_military' , label: 'news_military'
inputs: '一颗原子弹能够摧毁一支航母舰队吗？专家说出实话，你可能都不信', predict: 'news_military' , label: 'news_military'
inputs: '小龙虾火了，汽车品牌都不淡定了', predict: 'news_car' , label: 'news_car'
inputs: '紧急应对618大促，中小型卖家如何快速弯道超车，精耕细作打爆款！', predict: 'news_tech' , label: 'news_tech'
inputs: '椰视频｜椰岛自由行——三亚潜水梦之旅', predict: 'news_travel' , label: 'news_travel'
inputs: '男生读护校有前途吗？', predict: 'news_edu' , label: 'news_edu'
inputs: '乐嘉强拥谢娜入怀，强吻遭拒，谢娜的胳膊获得网友点赞！', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '《崩坏3》关于一些私信的解答', predict: 'news_game' , label: 'news_game'
inputs: '北大天才去二本学校当老师就是堕落？你对成功是不是有什么误解？', predict: 'news_edu' , label: 'news_edu'
inputs: '曾是珠海“第一村”的会同村，嬗变后有哪些特色？', predict: 'news_agriculture' , label: 'news_travel'
inputs: '精武门综合格斗职业联赛今晚会师珠海 赛前选手见面频频放狠话', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '胜利的天堂能不能向曼城倾斜', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '你最喜欢的一句经典电影对白是什么？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '为什么袁隆平没有获得诺贝尔奖？', predict: 'news_culture' , label: 'news_world'
inputs: '房价真跌？假摔！', predict: 'news_house' , label: 'news_house'
inputs: '如果美俄不插手，以色列和伊朗谁的胜算高？', predict: 'news_military' , label: 'news_military'
inputs: '妹妹刚结婚妹夫就失踪了，三年后，却看到妹夫一家三口，我们愣了', predict: 'news_story' , label: 'news_story'
inputs: '5月15日锤子科技鸟巢发布会/坚果R1，小米、极米、一加齐阻击', predict: 'news_tech' , label: 'news_tech'
inputs: '载货20吨，航程3400km，刚刚，这款运输机现身南边', predict: 'news_military' , label: 'news_military'
inputs: '加拿大留学生移民后的生活状况如何？', predict: 'news_edu' , label: 'news_edu'
inputs: '双冠王梅西+赛季不败+欧洲金靴+西甲金靴+西甲助攻王，在金球奖的竞争中有一席之地吗？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '吉林省对原民办教师有什么好政策？', predict: 'news_edu' , label: 'news_sports'
inputs: '菲律宾新人民军属于什么性质，亲美吗？', predict: 'news_world' , label: 'news_world'
inputs: '为什么滴滴打车越来越贵，越来越难打到车，高峰期比打的还难而且贵上1.5倍？', predict: 'news_tech' , label: 'news_tech'
inputs: '“县管校聘”的改革效果令人期待', predict: 'news_edu' , label: 'news_edu'
inputs: '杨幂和王鸥撞衫，谁更美？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '58同城推广公司58同城推广业务58同城推广渠道', predict: 'news_tech' , label: 'news_tech'
inputs: '经常听到球员十几二十万周薪，他们是不是每周发工资？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '从没钱到没资格到抢不到房，购房之路为什么越来越不易？', predict: 'news_house' , label: 'news_house'
inputs: '男子身高2.3米妻子1.5米，婚后生活尴尬的不得了', predict: 'news_story' , label: 'news_world'
inputs: '小米手机MIUI9系统如何把SIM卡的联系人导入手机？', predict: 'news_tech' , label: 'news_tech'
inputs: '养老定居，选择珠三角城市好还是长三角城市好？', predict: 'news_house' , label: 'news_house'
inputs: '游览五台山，穿越百花园', predict: 'news_travel' , label: 'news_travel'
inputs: 'Google I/O 2018有什么值得期待的？', predict: 'news_tech' , label: 'news_tech'
inputs: '想找一个写诗的漂亮女人当老婆有多难？36年都遇不到！', predict: 'news_story' , label: 'news_entertainment'
inputs: '卡宴再推插电混动，你怎么看？', predict: 'news_car' , label: 'news_car'
inputs: '1960年代聂荣臻因何事让钱学森得知后“沉下了脸”', predict: 'news_military' , label: 'news_military'
inputs: '2001年美国发生9·11恐怖袭击的时候你在哪儿？听到这个消息是什么心情？', predict: 'news_world' , label: 'news_world'
inputs: '绝地求生：欧洲战队FaZe教科书式吃鸡给出新玩法，玩家看完想卸载', predict: 'news_game' , label: 'news_game'
inputs: '电视平台独家合作！海信助力FIFA足球世界开辟大屏游戏战场', predict: 'news_tech' , label: 'news_game'
inputs: '董子健家的小公主终于公布照片了，网友：基因果然是强大', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '多开分身，伪装机型登录王者荣耀，账号会不会封号？', predict: 'news_game' , label: 'news_game'
inputs: '范冰冰和欧美明星合影前换上恨天高，成功成为戛纳最美“特工”', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '天津哪有环境好又能户外烧烤的地方？', predict: 'news_travel' , label: 'news_travel'
inputs: '日本一个艺伎替美国领事服务了3个月，从此被日本人唾弃30多年', predict: 'news_world' , label: 'news_world'
inputs: '安庆一名大学老师用歌唱的方式教授古典诗词，学生们对他的课很有兴趣，对此你怎么看？', predict: 'news_culture' , label: 'news_culture'
inputs: '轮流回家住宿开始，军人再也不用全部留营', predict: 'news_military' , label: 'news_military'
inputs: '美媒晒科比为凯尔特人试训照，绿军当年选了科比会怎样？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '世乒赛已然结束，从全面复盘的高度，都能总结出哪些得失？', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '梁文音睽违3年发新专辑《副驾驶座的风景》5月11日上线', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '如何看待张召忠将军说到日本都做不出像国产C919这样的大飞机的观点？', predict: 'news_military' , label: 'news_military'
inputs: '美国到底是衰退还是变得更强大了？', predict: 'news_world' , label: 'news_world'
inputs: '「帮你选车」小仓帮选车，只选最适合！', predict: 'news_car' , label: 'news_car'
inputs: '谷歌微软英伟达等34家公司要齐聚白宫，与特朗普共商AI大计', predict: 'news_tech' , label: 'news_tech'
inputs: '买个包子竟付款14万 店家：快来认领吗？', predict: 'news_agriculture' , label: 'news_tech'
inputs: 'LOL最令人怀念的场景，一张简单地图，发生过多少难忘的故事！', predict: 'news_travel' , label: 'news_game'
inputs: '特种兵的伪装迷彩服，能迷惑眼睛到什么地步？', predict: 'news_military' , label: 'news_military'
inputs: '区块链节点服务器', predict: 'news_tech' , label: 'news_tech'
inputs: '美国陷入窘境？市场再次引发热议：如何看待特斯拉破产问题？', predict: 'news_sports' , label: 'news_tech'
inputs: '美军航母开始转舵？3艘或将聚集南海，中国也会面临同样“烦恼”', predict: 'news_military' , label: 'news_military'
inputs: 'DNF：听说你卢克没人带？《卢克划水日记》了解一下！', predict: 'news_game' , label: 'news_game'
inputs: '接泰国群众举报！166名中国人在泰操控中国股市被警方审讯', predict: 'news_sports' , label: 'news_world'
inputs: '一款老游戏，开始人物是从天而降的是什么游戏？', predict: 'news_game' , label: 'news_game'
inputs: '有一种爱情叫做汪峰章子怡！', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '九江美食：湖口炒米粑', predict: 'news_travel' , label: 'news_culture'
inputs: '研究人员称大太平洋垃圾带正变成“塑料怪物”', predict: 'news_world' , label: 'news_world'
inputs: '21投1中！6200万先生迷失季后赛，莫雷曾因放走他被火箭球迷讨伐', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '影评：《三生三世十里桃花》', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '40年的老核桃，包浆真美！可缝隙里都是灰怎么办？', predict: 'news_agriculture' , label: 'news_game'
inputs: '未来三年，哪些行业值得投资？', predict: 'news_sports' , label: 'news_tech'
inputs: '从2999跌至1599元，曾助OPPO登上国产冠军宝座，如今沦为千元机！', predict: 'news_tech' , label: 'news_tech'
inputs: '镇江财经早报｜镇江一季度商品房销售面积和销售额同比下滑幅度大', predict: 'news_house' , label: 'news_house'
inputs: '看这4点之后，终于知道为何川藏线穷游女搭车屡次被拒！', predict: 'news_travel' , label: 'news_travel'
inputs: '买一只活鸭一般需要50元左右，为什么有些烤鸭却只卖19元呢？', predict: 'news_agriculture' , label: 'news_sports'
inputs: '我国的“专属”运钞车为什么是江铃全顺？运钞车冷知识你知道多少', predict: 'news_car' , label: 'news_car'
inputs: '有人说《亮剑》里赵刚500米外打中日军太假，这个说法是真是假？', predict: 'news_military' , label: 'news_military'
inputs: '中国学者呼吁要重视医生猝死：两年猝死40个，呼吁减负和为自己健康负责', predict: 'news_world' , label: 'news_world'
inputs: '迷你世界地心门怎么弄？', predict: 'news_travel' , label: 'news_culture'
inputs: '出一上联：云上太阳云下雨，求下联？', predict: 'news_culture' , label: 'news_culture'
inputs: '高考后去美国留学，一年的费用开销，你的预算够吗？', predict: 'news_edu' , label: 'news_edu'
inputs: '牧童遥指杏花村是指汾阳杏花镇吗？', predict: 'news_culture' , label: 'news_culture'
inputs: '2018-05-10股票冲高回落，商品高空', predict: 'news_sports' , label: 'news_sports'
inputs: '为什么陈晓旭在《红楼梦》之后再无出名的影视作品？', predict: 'news_entertainment' , label: 'news_culture'
inputs: '林心如现身活动捞金，抹胸礼服难掩发福身材，妆太浓吓坏台上婴儿', predict: 'news_entertainment' , label: 'news_entertainment'
inputs: '这辆车号称50年不坏，100年质保！网友说：送我都不要！', predict: 'news_car' , label: 'news_car'
inputs: '刚毕业是薪资重要，还是学习重要？', predict: 'news_edu' , label: 'news_edu'
inputs: '公检法司备考热点：机器人逆天战特级？是颠覆还是辅助？', predict: 'news_tech' , label: 'news_edu'
inputs: '农民新发明，老式自行车改装的锄地工具，省时，省力，还省工', predict: 'news_agriculture' , label: 'news_agriculture'
inputs: '听了青年典型的故事 这些青年官兵学生干劲更足', predict: 'news_military' , label: 'news_military'
inputs: '车子便宜还省油，混动紧凑级轿车看过来！', predict: 'news_car' , label: 'news_car'
inputs: '为什么美国经常有龙卷风发生？', predict: 'news_world' , label: 'news_world'
inputs: '刺激战场：你觉得压枪重要吗，小编觉得还好吧', predict: 'news_game' , label: 'news_game'
inputs: '假如股市恢复T+0的交易制度会怎样？', predict: 'news_sports' , label: 'news_sports'
inputs: '2018年什么行业会火？', predict: 'news_tech' , label: 'news_tech'
inputs: '钢贸大佬神预测：“红五月”建筑钢材市场价格仍将震荡上升', predict: 'news_sports' , label: 'news_sports'
inputs: '2018年全球高端定制旅游都有些什么旅游项目？', predict: 'news_travel' , label: 'news_travel'
